fec_candidate_id,candidate_name,committee_id,committee_name,designation,designation_full,committee_type,committee_type_full,is_principal
S6IL00151,"DURBIN, RICHARD J.",C00316604,ILLINOIS SENATE VICTORY FUND,J,Joint fundraising committee,Y,Party - Qualified,False
S6IL00151,"DURBIN, RICHARD J.",C00325621,ILLINOIS VICTORY '96,J,Joint fundraising committee,X,Party - Nonqualified,False
S6IL00151,"DURBIN, RICHARD J.",C00381616,ILLNOIS DEMOCRATIC VICTORY 2002,J,Joint fundraising committee,X,Party - Nonqualified,False
S6IL00151,"DURBIN, RICHARD J.",C00554626,RHODE ISLAND ILLINOIS VICTORY FUND,J,Joint fundraising committee,S,Senate,False
S6IL00151,"DURBIN, RICHARD J.",C00447094,SENATE VICTORY 2008,J,Joint fundraising committee,Q,PAC - Qualified,False
S4CA00639,"EARLY, ERIC",C00837526,ERIC EARLY FOR U.S. SENATE 2024,P,Principal campaign committee,S,Senate,True
S6VA00192,"EICHELBERGER, GREGORY",C00925610,GREGORY EICHELBERGER FOR U.S. SENATE,P,Principal campaign committee,S,Senate,True
S4NY00362,"EISEN, JOSHUA DR.",C00852483,EISEN FOR NY,P,Principal campaign committee,S,Senate,True
S4WV00399,"ELLIOTT, GLENN FREDERICK MR. JR.",C00864819,ELLIOTT FOR WEST VIRGINIA,P,Principal campaign committee,S,Senate,True
S2FL00458,"ELLISON, ALLEN",C00574236,ALLEN ELLISON FOR US SENATE,A,Authorized by a candidate,S,Senate,False
S6MI00418,"EL-SAYED, ABDUL",C00902668,ABDUL FOR U.S. SENATE,P,Principal campaign committee,S,Senate,True
S6LA00581,"EMERSON, JULIE CATHRYN",C00923631,JULIE EMERSON FOR LOUISIANA,P,Principal campaign committee,S,Senate,True
S4VA00247,"EMORD, JONATHAN WALKER MR.",C00832253,EMORD FOR SENATE INC.,P,Principal campaign committee,S,Senate,True
S4VA00213,"ENNIS, CRAIG EDWARD MR",C00828640,ENNIS FOR SENATE,P,Principal campaign committee,S,Senate,True
S4IA00129,"ERNST, JONI K",C00609370,ERNST MAJORITY COMMITTEE,J,Joint fundraising committee,N,PAC - Nonqualified,False
S4IA00129,"ERNST, JONI K",C00571927,ERNST VICTORY,J,Joint fundraising committee,N,PAC - Nonqualified,False
S4IA00129,"ERNST, JONI K",C00566984,ERNST VICTORY FUND,J,Joint fundraising committee,N,PAC - Nonqualified,False
S4IA00129,"ERNST, JONI K",C00610428,ERNST VICTORY IOWA,J,Joint fundraising committee,N,PAC - Nonqualified,False
S4IA00129,"ERNST, JONI K",C00566083,FLORIDIANS FOR A SENATE MAJORITY,J,Joint fundraising committee,N,PAC - Nonqualified,False
S4IA00129,"ERNST, JONI K",C00563858,FOUNDERS SENATE CANDIDATE COMMITTEE,J,Joint fundraising committee,N,PAC - Nonqualified,False
S4IA00129,"ERNST, JONI K",C00568634,IOWA REPUBLICAN PARTY 2014 VICTORY FUND,J,Joint fundraising committee,N,PAC - Nonqualified,False
S4IA00129,"ERNST, JONI K",C00705822,JONI ERNST NOMINEE FUND,A,Authorized by a candidate,S,Senate,False
S4IA00129,"ERNST, JONI K",C00546788,JONI FOR IOWA,P,Principal campaign committee,S,Senate,True
S4IA00129,"ERNST, JONI K",C00614198,JONI'S ROAST AND RIDE,J,Joint fundraising committee,N,PAC - Nonqualified,False
S4IA00129,"ERNST, JONI K",C00567941,MCFADDEN ERNST COTTON SULLIVAN VICTORY FUND (MECS VICTORY FUND),J,Joint fundraising committee,N,PAC - Nonqualified,False
S4IA00129,"ERNST, JONI K",C00568402,NEW SENATE MAJORITY 2014,J,Joint fundraising committee,N,PAC - Nonqualified,False
S4IA00129,"ERNST, JONI K",C00568683,RECLAIM THE SENATE 2014,J,Joint fundraising committee,S,Senate,False
S4IA00129,"ERNST, JONI K",C00565051,SCOTT ROBERTS GARDNER ERNST VICTORY FUND (SRGE VICTORY FUND),J,Joint fundraising committee,S,Senate,False
S4IA00129,"ERNST, JONI K",C00565960,WINNING WOMEN FOR THE US SENATE,J,Joint fundraising committee,S,Senate,False
S8MS00287,"ESPY, MICHAEL",C00675884,MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,P,Principal campaign committee,S,Senate,True
S4NJ00524,"ESTRADA, MICHAEL",C00864496,MICHAEL ESTRADA FOR SENATE,P,Principal campaign committee,S,Senate,True
S6ME00399,"EVANS, DAVID ALAN",C00921767,COMMITTEE TO ELECT DAVID EVANS,P,Principal campaign committee,S,Senate,True
S2VT00334,"EVANS-FRANTZ, ISAAC",C00811182,ISAAC FOR VERMONT,P,Principal campaign committee,S,Senate,True
S6IL00672,"EVANS, JEANNIE",C00921759,JEANNIE FOR ILLINOIS,P,Principal campaign committee,S,Senate,True
S6ID00120,"EVANS, JOE",C00894816,JOE EVANS FOR SENATE,P,Principal campaign committee,S,Senate,True
S6ID00013,"EVANS, JOHN VICTOR",C00197046,EVANS COMMITTEE,A,Authorized by a candidate,S,Senate,False
S6ID00013,"EVANS, JOHN VICTOR",C00194472,JOHN EVANS POLITICAL ACTION COMMITTEE,U,Unauthorized,N,PAC - Nonqualified,False
S6WV00147,"EVANS, JONATHAN DERRICK",C00832154,EVANS FOR WV,P,Principal campaign committee,H,House,True
S6TX00446,"EVANS, RONALD JR",C00913228,THE PEOPLE FOR RONALD EVANS,P,Principal campaign committee,S,Senate,True
S4FL00819,"EVERIDGE, BEN",C00877175,BEN EVERIDGE FOR FLORIDA,P,Principal campaign committee,S,Senate,True
S0CA00504,"FABRICANT, DANNY",C00767517,FABRICANT VICTORY COMMITTEE,P,Principal campaign committee,S,Senate,True
S4TN00500,"FAIN, DYLAN LEE MR. N/A",C00794974,AMERICA FOR THE FUTURE,P,Principal campaign committee,S,Senate,True
S6VA00143,"FARINGTON, KIM",C00893099,KIM FARINGTON FOR SENATE,P,Principal campaign committee,S,Senate,True
S6KY00260,"FARIS, MICHAEL",C00903930,MIKE FARIS FOR U.S. SENATE,P,Principal campaign committee,S,Senate,True
S6KY00278,"FARIS, MICHAEL JAMES",C00903930,MIKE FARIS FOR U.S. SENATE,P,Principal campaign committee,S,Senate,True
S8OH00144,"FARIS, STEPHEN I MR",C00688465,FARIS WRITE IN FOR SENATE,P,Principal campaign committee,S,Senate,True
S4CA00647,"FARMOS, JACOB",C00833327,JACOB FARMOS FOR US SENATE,P,Principal campaign committee,S,Senate,True
S6NC00530,"FARROW, DARYL",C00932798,FARROW FOR US SENATE,P,Principal campaign committee,S,Senate,True
