state,state_name,polymarket_event_slug,polymarket_event_url,top_1_entity_name,top_1_entity_type,top_1_yes_probability,top_1_market_slug,top_1_embed_url,top_1_fec_candidate_id,top_1_matched_candidate_name,top_1_match_status,top_2_entity_name,top_2_entity_type,top_2_yes_probability,top_2_market_slug,top_2_embed_url,top_2_fec_candidate_id,top_2_matched_candidate_name,top_2_match_status,data_pulled_at
NH,New Hampshire,new-hampshire-senate-election-winner,https://polymarket.com/event/new-hampshire-senate-election-winner,Democrat,party,0.84,will-the-democrats-win-the-new-hampshire-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-new-hampshire-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.17,will-the-republicans-win-the-new-hampshire-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-new-hampshire-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.842126+00:00
NJ,New Jersey,new-jersey-senate-election-winner,https://polymarket.com/event/new-jersey-senate-election-winner,Democrat,party,0.955,will-the-democrats-win-the-new-jersey-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-new-jersey-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.037,will-the-republicans-win-the-new-jersey-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-new-jersey-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.842854+00:00
NM,New Mexico,new-mexico-senate-election-winner,https://polymarket.com/event/new-mexico-senate-election-winner,Democrat,party,0.957,will-the-democrats-win-the-new-mexico-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-new-mexico-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.0275,will-the-republicans-win-the-new-mexico-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-new-mexico-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.843588+00:00
OH,Ohio,ohio-senate-election-winner,https://polymarket.com/event/ohio-senate-election-winner,Democrat,party,0.595,will-the-democrats-win-the-ohio-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-ohio-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.415,will-the-republicans-win-the-ohio-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-ohio-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.844316+00:00
OK,Oklahoma,oklahoma-senate-election-winner,https://polymarket.com/event/oklahoma-senate-election-winner,Republican,party,0.925,will-the-republicans-win-the-oklahoma-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-oklahoma-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.0695,will-the-democrats-win-the-oklahoma-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-oklahoma-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.845040+00:00
OR,Oregon,oregon-senate-election-winner,https://polymarket.com/event/oregon-senate-election-winner,Democrat,party,0.93,will-the-democrats-win-the-oregon-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-oregon-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.075,will-the-republicans-win-the-oregon-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-oregon-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.845767+00:00
RI,Rhode Island,rhode-island-senate-election-winner,https://polymarket.com/event/rhode-island-senate-election-winner,Democrat,party,0.91,will-the-democrats-win-the-rhode-island-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-rhode-island-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.05,will-the-republicans-win-the-rhode-island-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-rhode-island-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.846483+00:00
SC,South Carolina,south-carolina-senate-election-winner,https://polymarket.com/event/south-carolina-senate-election-winner,Republican,party,0.79,will-the-republicans-win-the-south-carolina-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-south-carolina-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.22,will-the-democrats-win-the-south-carolina-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-south-carolina-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.847181+00:00
SD,South Dakota,south-dakota-senate-election-winner,https://polymarket.com/event/south-dakota-senate-election-winner,Republican,party,0.915,will-the-republicans-win-the-south-dakota-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-south-dakota-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.0345,will-the-democrats-win-the-south-dakota-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-south-dakota-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.847934+00:00
TN,Tennessee,tennessee-senate-election-winner,https://polymarket.com/event/tennessee-senate-election-winner,Republican,party,0.95,will-the-republicans-win-the-tennessee-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-tennessee-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.055,will-the-democrats-win-the-tennessee-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-tennessee-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.848632+00:00
TX,Texas,texas-senate-election-winner,https://polymarket.com/event/texas-senate-election-winner,Republican,party,0.545,will-the-republicans-win-the-texas-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-texas-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.46,will-the-democrats-win-the-texas-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-texas-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.849327+00:00
VA,Virginia,virginia-senate-election-winner,https://polymarket.com/event/virginia-senate-election-winner,Democrat,party,0.925,will-the-democrats-win-the-virginia-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-virginia-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Republican,party,0.055,will-the-republicans-win-the-virginia-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-virginia-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.850022+00:00
WV,West Virginia,west-virginia-senate-election-winner,https://polymarket.com/event/west-virginia-senate-election-winner,Republican,party,0.945,will-the-republicans-win-the-west-virginia-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-west-virginia-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.019,will-the-democrats-win-the-west-virginia-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-west-virginia-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.850717+00:00
WY,Wyoming,wyoming-senate-election-winner,https://polymarket.com/event/wyoming-senate-election-winner,Republican,party,0.935,will-the-republicans-win-the-wyoming-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-republicans-win-the-wyoming-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,Democrat,party,0.065,will-the-democrats-win-the-wyoming-senate-race-in-2026,https://embed.polymarket.com/market?market=will-the-democrats-win-the-wyoming-senate-race-in-2026&height=300,,,party_market_waiting_for_selected_file,2026-05-03T09:51:06.851407+00:00
