state,state_name,polymarket_event_id,polymarket_event_slug,polymarket_event_title,polymarket_event_url,polymarket_market_id,polymarket_market_slug,polymarket_market_question,polymarket_market_url,polymarket_embed_url,market_entity_name,market_entity_type,market_party_normalized,yes_probability,no_probability,last_trade_price,best_bid,best_ask,volume,liquidity,active,closed,event_updated_at,data_pulled_at,matched_fec_candidate_id,matched_candidate_name,matched_party,matched_party_normalized,candidate_match_status,candidate_match_count,candidate_match_candidates
ID,Idaho,57643,idaho-senate-election-winner,Idaho Senate Election Winner,https://polymarket.com/event/idaho-senate-election-winner,630705,will-the-democrats-win-the-idaho-senate-race-in-2026,Will the Democrats win the Idaho Senate race in 2026?,https://polymarket.com/event/idaho-senate-election-winner#630705,https://embed.polymarket.com/market?market=will-the-democrats-win-the-idaho-senate-race-in-2026&height=300,Democrat,party,DEM,0.075,0.925,0.06,0.07,0.08,4733.048266999998,12379.2787,True,False,2026-05-03T12:06:33.178375Z,2026-05-03T12:08:24.875417+00:00,S6ID00138,"ROTH, DAVID JORDAN",DEM,DEM,party_market_selected_candidate,1,S6ID00138
IL,Illinois,57646,illinois-senate-election-winner,Illinois Senate Election Winner,https://polymarket.com/event/illinois-senate-election-winner,630720,will-the-democrats-win-the-illinois-senate-race-in-2026,Will the Democrats win the Illinois Senate race in 2026?,https://polymarket.com/event/illinois-senate-election-winner#630720,https://embed.polymarket.com/market?market=will-the-democrats-win-the-illinois-senate-race-in-2026&height=300,Democrat,party,DEM,0.93,0.07,0.91,0.92,0.94,11432.247535000002,12755.2525,True,False,2026-05-03T12:06:26.515301Z,2026-05-03T12:08:24.876052+00:00,S6IL00482,"KRISHNAMOORTHI, S",DEM,DEM,party_market_selected_candidate,1,S6IL00482
IL,Illinois,57646,illinois-senate-election-winner,Illinois Senate Election Winner,https://polymarket.com/event/illinois-senate-election-winner,630721,will-the-republicans-win-the-illinois-senate-race-in-2026,Will the Republicans win the Illinois Senate race in 2026?,https://polymarket.com/event/illinois-senate-election-winner#630721,https://embed.polymarket.com/market?market=will-the-republicans-win-the-illinois-senate-race-in-2026&height=300,Republican,party,REP,0.037,0.963,0.01,0.013,0.061,10814.028814999989,708.07122,True,False,2026-05-03T12:06:26.515301Z,2026-05-03T12:08:24.876650+00:00,S6IL00615,"TRACY, DON",REP,REP,party_market_selected_candidate,1,S6IL00615
KS,Kansas,57648,kansas-senate-election-winner,Kansas Senate Election Winner,https://polymarket.com/event/kansas-senate-election-winner,630747,will-the-republicans-win-the-kansas-senate-race-in-2026,Will the Republicans win the Kansas Senate race in 2026?,https://polymarket.com/event/kansas-senate-election-winner#630747,https://embed.polymarket.com/market?market=will-the-republicans-win-the-kansas-senate-race-in-2026&height=300,Republican,party,REP,0.805,0.195,0.8,0.8,0.81,14439.34406299999,12725.1201,True,False,2026-05-03T12:06:29.27224Z,2026-05-03T12:08:24.878396+00:00,H6KS01179,"MARSHALL, ROGER W",REP,REP,party_market_selected_candidate,1,H6KS01179
KS,Kansas,57648,kansas-senate-election-winner,Kansas Senate Election Winner,https://polymarket.com/event/kansas-senate-election-winner,630746,will-the-democrats-win-the-kansas-senate-race-in-2026,Will the Democrats win the Kansas Senate race in 2026?,https://polymarket.com/event/kansas-senate-election-winner#630746,https://embed.polymarket.com/market?market=will-the-democrats-win-the-kansas-senate-race-in-2026&height=300,Democrat,party,DEM,0.2,0.8,0.2,0.19,0.21,10737.143543999997,13777.1389,True,False,2026-05-03T12:06:29.27224Z,2026-05-03T12:08:24.878940+00:00,S6KS00262,"SPIDEL NEUMANN, SANDY",DEM,DEM,party_market_selected_candidate,1,S6KS00262
KY,Kentucky,57649,kentucky-senate-election-winner,Kentucky Senate Election Winner,https://polymarket.com/event/kentucky-senate-election-winner,630760,will-the-republicans-win-the-kentucky-senate-race-in-2026,Will the Republicans win the Kentucky Senate race in 2026?,https://polymarket.com/event/kentucky-senate-election-winner#630760,https://embed.polymarket.com/market?market=will-the-republicans-win-the-kentucky-senate-race-in-2026&height=300,Republican,party,REP,0.94,0.06,0.92,0.93,0.95,3024.7066240000004,12662.3493,True,False,2026-05-03T12:07:40.303053Z,2026-05-03T12:08:24.880454+00:00,S2KY00012,"MCCONNELL, MITCH",REP,REP,party_market_selected_candidate,1,S2KY00012
KY,Kentucky,57649,kentucky-senate-election-winner,Kentucky Senate Election Winner,https://polymarket.com/event/kentucky-senate-election-winner,630759,will-the-democrats-win-the-kentucky-senate-race-in-2026,Will the Democrats win the Kentucky Senate race in 2026?,https://polymarket.com/event/kentucky-senate-election-winner#630759,https://embed.polymarket.com/market?market=will-the-democrats-win-the-kentucky-senate-race-in-2026&height=300,Democrat,party,DEM,0.052,0.948,0.09,0.035,0.069,3515.821370999999,5664.50816,True,False,2026-05-03T12:07:40.303053Z,2026-05-03T12:08:24.879777+00:00,S0KY00420,"BOOKER, CHARLES",DEM,DEM,party_market_selected_candidate,1,S0KY00420
LA,Louisiana,59203,louisiana-senate-election-winner,Louisiana Senate Election Winner,https://polymarket.com/event/louisiana-senate-election-winner,634879,will-the-republicans-win-the-louisiana-senate-race-in-2026,Will the Republicans win the Louisiana Senate race in 2026?,https://polymarket.com/event/louisiana-senate-election-winner#634879,https://embed.polymarket.com/market?market=will-the-republicans-win-the-louisiana-senate-race-in-2026&height=300,Republican,party,REP,0.91,0.09,0.9,0.9,0.92,3577.6547710000013,11356.5992,True,False,2026-05-03T12:06:30.199766Z,2026-05-03T12:08:24.881610+00:00,S4LA00065,"KENNEDY, JOHN NEELY",REP,REP,party_market_selected_candidate,1,S4LA00065
LA,Louisiana,59203,louisiana-senate-election-winner,Louisiana Senate Election Winner,https://polymarket.com/event/louisiana-senate-election-winner,634878,will-the-democrats-win-the-louisiana-senate-race-in-2026,Will the Democrats win the Louisiana Senate race in 2026?,https://polymarket.com/event/louisiana-senate-election-winner#634878,https://embed.polymarket.com/market?market=will-the-democrats-win-the-louisiana-senate-race-in-2026&height=300,Democrat,party,DEM,0.08,0.92,0.07,0.07,0.09,2561.235766,14089.4433,True,False,2026-05-03T12:06:30.199766Z,2026-05-03T12:08:24.881054+00:00,S4LA00040,"JOHN, CHRIS",DEM,DEM,party_market_selected_candidate,1,S4LA00040
MA,Massachusetts,57655,massachusetts-senate-election-winner,Massachusetts Senate Election Winner,https://polymarket.com/event/massachusetts-senate-election-winner,630790,will-the-democrats-win-the-massachusetts-senate-race-in-2026,Will the Democrats win the Massachusetts Senate race in 2026?,https://polymarket.com/event/massachusetts-senate-election-winner#630790,https://embed.polymarket.com/market?market=will-the-democrats-win-the-massachusetts-senate-race-in-2026&height=300,Democrat,party,DEM,0.945,0.055,0.95,0.94,0.95,8328.416465,14942.0319,True,False,2026-05-03T12:06:24.068537Z,2026-05-03T12:08:24.883291+00:00,S2MA00170,"WARREN, ELIZABETH",DEM,DEM,party_market_selected_candidate,1,S2MA00170
