state,dem_fec_candidate_id,rep_fec_candidate_id,dem_candidate_name,rep_candidate_name,dem_total_receipts,rep_total_receipts,dem_total_disbursements,rep_total_disbursements,dem_cash_on_hand,rep_cash_on_hand,dem_debts_owed_by_committee,rep_debts_owed_by_committee,dem_coverage_end_date,rep_coverage_end_date,top_1_entity_name,top_1_entity_type,top_1_yes_probability,top_1_market_slug,top_1_fec_candidate_id,top_2_entity_name,top_2_entity_type,top_2_yes_probability,top_2_market_slug,top_2_fec_candidate_id,favorite_margin_prob,combined_receipts,combined_spend,combined_cash,dem_receipts_share,rep_receipts_share,dem_cash_share,rep_cash_share,favorite_party,favorite_receipts_share,favorite_cash_share,favorite_candidate_name,favorite_receipts_gap_vs_opponent,favorite_cash_gap_vs_opponent
NE,S6NE00160,S6NE00129,"FORBES, WILLIAM","RICKETTS, PETE",1000.0,4866649.16,1000.0,4281083.75,0.0,1072534.52,0.0,0.0,2026-04-22,2026-04-22,Republican,party,0.665,will-the-republicans-win-the-nebraska-senate-race-in-2026,S6NE00129,Independent,party,0.3,will-an-independent-win-the-nebraska-senate-race-in-2026,,0.36500000000000005,4867649.16,4282083.75,1072534.52,0.00020543797778556415,0.9997945620222144,0.0,1.0,REP,0.9997945620222144,1.0,"RICKETTS, PETE",4865649.16,1072534.52
NH,S6NH00141,S6NH00208,"PAPPAS, CHRIS","SUNUNU, JOHN E",9860676.34,2475941.37,6044770.26,583037.19,4223490.31,1892904.18,0.0,0.0,2026-03-31,2026-03-31,Democrat,party,0.84,will-the-democrats-win-the-new-hampshire-senate-race-in-2026,S6NH00091,Republican,party,0.17,will-the-republicans-win-the-new-hampshire-senate-race-in-2026,S0NH00326,0.6699999999999999,12336617.71,6627807.449999999,6116394.489999999,0.7993014432154273,0.20069855678457268,0.6905196054481437,0.30948039455185633,DEM,0.7993014432154273,0.6905196054481437,"PAPPAS, CHRIS",7384734.97,2330586.13
NJ,S4NJ00185,S6NJ00438,"BOOKER, CORY A.","LEBOVICS, ROBERT",16808282.46,101260.25,5829198.17,77955.94,22171570.28,23304.31,0.0,100000.0,2026-03-31,2026-03-31,Democrat,party,0.94,will-the-democrats-win-the-new-jersey-senate-race-in-2026,S4NJ00185,Republican,party,0.0435,will-the-republicans-win-the-new-jersey-senate-race-in-2026,S6NJ00131,0.8965,16909542.71,5907154.11,22194874.59,0.9940116505965524,0.005988349403447587,0.998950013891473,0.00104998610852705,DEM,0.9940116505965524,0.998950013891473,"BOOKER, CORY A.",16707022.21,22148265.970000003
NM,S0NM00058,S4NM00183,"LUJAN, BEN RAY","DOMENICI, NELLA LOUISE LOUISE",4658613.41,2535.8,1696484.92,70693.82,4175921.38,3499.55,0.0,2800000.0,2026-03-31,2026-03-31,Democrat,party,0.957,will-the-democrats-win-the-new-mexico-senate-race-in-2026,S2NM00088,Republican,party,0.0275,will-the-republicans-win-the-new-mexico-senate-race-in-2026,S4NM00183,0.9295,4661149.21,1767178.74,4179420.9299999997,0.9994559710737088,0.0005440289262913341,0.9991626710832403,0.0008373289167597676,DEM,0.9994559710737088,0.9991626710832403,"LUJAN, BEN RAY",4656077.61,4172421.83
OH,S6OH00163,S6OH00304,"BROWN, SHERROD","HUSTED, JON",25979968.48,10518818.26,8951326.24,2357657.71,17028642.24,8161160.55,0.0,0.0,2026-04-15,2026-04-15,Democrat,party,0.595,will-the-democrats-win-the-ohio-senate-race-in-2026,S6OH00163,Republican,party,0.415,will-the-republicans-win-the-ohio-senate-race-in-2026,S4OH00192,0.18,36498786.74,11308983.95,25189802.79,0.7118036187084502,0.28819638129154973,0.6760133210237014,0.32398667897629857,DEM,0.7118036187084502,0.6760133210237014,"BROWN, SHERROD",15461150.22,8867481.689999998
OK,S6OK04197,S6OK04247,"PRIEST, JIM","HERN, KEVIN",203272.5,8284047.86,68438.0,67761.21,134834.5,8216286.65,50000.0,5050000.0,2026-03-31,2026-03-31,Republican,party,0.925,will-the-republicans-win-the-oklahoma-senate-race-in-2026,S6OK04247,Democrat,party,0.063,will-the-democrats-win-the-oklahoma-senate-race-in-2026,S0OK00370,0.8620000000000001,8487320.36,136199.21000000002,8351121.15,0.023950138721993523,0.9760498612780066,0.016145676440102896,0.9838543235598971,REP,0.9760498612780066,0.9838543235598971,"HERN, KEVIN",8080775.36,8081452.15
OR,S8OR00207,S6OR05218,"MERKLEY, JEFFREY ALAN","SMITH, DAVID BROCK",3798075.34,24083.96,1484895.87,288.96,6580178.12,23795.0,0.0,28234.62,2026-03-31,2026-03-31,Democrat,party,0.93,will-the-democrats-win-the-oregon-senate-race-in-2026,S6OR00110,Republican,party,0.075,will-the-republicans-win-the-oregon-senate-race-in-2026,S6OR05218,0.8550000000000001,3822159.3,1485184.83,6603973.12,0.9936988602228065,0.006301139777193483,0.996396866012683,0.003603133987317017,DEM,0.9936988602228065,0.996396866012683,"MERKLEY, JEFFREY ALAN",3773991.38,6556383.12
RI,S6RI00163,S4RI00051,"REED, JOHN F.","MCKAY, RAYMOND TYLER MR",2602598.5,139874.63,761309.2,127794.47,3429481.34,12418.69,0.0,689.51,2026-03-31,2026-03-31,Democrat,party,0.915,will-the-democrats-win-the-rhode-island-senate-race-in-2026,S6RI00221,Republican,party,0.05,will-the-republicans-win-the-rhode-island-senate-race-in-2026,S4RI00085,0.865,2742473.13,889103.6699999999,3441900.03,0.9489969004728226,0.051003099527177506,0.996391908570337,0.003608091429663052,DEM,0.9489969004728226,0.996391908570337,"REED, JOHN F.",2462723.87,3417062.65
SC,S6SC04239,S0SC00149,"ANDREWS, ANNIE","GRAHAM, LINDSEY O.",6519295.74,5928622.17,3880008.35,9938630.67,2639287.39,11613608.79,15688.47,0.0,2026-03-31,2026-03-31,Republican,party,0.79,will-the-republicans-win-the-south-carolina-senate-race-in-2026,S0SC00149,Democrat,party,0.22,will-the-democrats-win-the-south-carolina-senate-race-in-2026,S0SC00289,0.5700000000000001,12447917.91,13818639.02,14252896.18,0.523725797931455,0.476274202068545,0.1851755149738276,0.8148244850261723,REP,0.476274202068545,0.8148244850261723,"GRAHAM, LINDSEY O.",-590673.5700000003,8974321.399999999
SD,S6SD01125,S2SD00068,"BEAUDION, JULIAN C","THUNE, JOHN R.",192473.04,3459924.82,185994.34,1452615.44,6478.7,17391646.65,14458.22,0.0,2026-03-31,2026-03-31,Republican,party,0.92,will-the-republicans-win-the-south-dakota-senate-race-in-2026,S2SD00068,Democrat,party,0.0345,will-the-democrats-win-the-south-dakota-senate-race-in-2026,S6SD01125,0.8855000000000001,3652397.86,1638609.78,17398125.349999998,0.0526977200671123,0.9473022799328877,0.0003723792000383536,0.9996276207999617,REP,0.9473022799328877,0.9996276207999617,"THUNE, JOHN R.",3267451.78,17385167.95
TN,S4TN00526,S0TN00169,"JOHNSON, GLORIA","HAGERTY, BILL",6530.28,5880481.66,64828.83,2133071.28,84186.16,5674879.45,0.0,0.0,2026-03-31,2026-03-31,Republican,party,0.95,will-the-republicans-win-the-tennessee-senate-race-in-2026,S0TN00169,Democrat,party,0.055,will-the-democrats-win-the-tennessee-senate-race-in-2026,S4TN00526,0.8949999999999999,5887011.94,2197900.11,5759065.61,0.0011092690258752897,0.9988907309741246,0.01461802412075663,0.9853819758792434,REP,0.9988907309741246,0.9853819758792434,"HAGERTY, BILL",5873951.38,5590693.29
TX,S6TX00479,S2TX00312,"TALARICO, JAMES","CRUZ, RAFAEL EDWARD  TED",40284109.15,8266381.4,30425243.8,7469079.02,9858865.35,2584009.58,0.0,0.0,2026-03-31,2026-03-31,Republican,party,0.545,will-the-republicans-win-the-texas-senate-race-in-2026,S2TX00312,Democrat,party,0.46,will-the-democrats-win-the-texas-senate-race-in-2026,S6TX00479,0.08500000000000002,48550490.55,37894322.82,12442874.93,0.8297363979981455,0.17026360200185456,0.7923301813658912,0.20766981863410888,REP,0.17026360200185456,0.20766981863410888,"CRUZ, RAFAEL EDWARD  TED",-32017727.75,-7274855.77
VA,S6VA00093,S8VA00321,"WARNER, MARK ROBERT","MIZUSAWA, BERT K",14719667.27,192041.22,5667867.07,136636.24,14605034.02,55404.98,0.0,0.0,2026-03-31,2026-03-31,Democrat,party,0.925,will-the-democrats-win-the-virginia-senate-race-in-2026,S2VA00142,Republican,party,0.055,will-the-republicans-win-the-virginia-senate-race-in-2026,S4VA00353,0.87,14911708.49,5804503.3100000005,14660439.0,0.9871214475438018,0.01287855245619813,0.9962207830202083,0.0037792169797916694,DEM,0.9871214475438018,0.9962207830202083,"WARNER, MARK ROBERT",14527626.049999999,14549629.04
WV,S4WV00357,S4WV00159,"SHREWSBURY, ZACHARY C","CAPITO, SHELLEY MOORE",498538.98,3906185.63,490415.75,2152797.56,8123.23,4064753.28,25970.56,0.0,2026-04-22,2026-04-22,Republican,party,0.95,will-the-republicans-win-the-west-virginia-senate-race-in-2026,S4WV00159,Democrat,party,0.0215,will-the-democrats-win-the-west-virginia-senate-race-in-2026,S0WV00215,0.9285,4404724.609999999,2643213.31,4072876.51,0.11318278079591451,0.8868172192040856,0.001994469996832779,0.9980055300031673,REP,0.8868172192040856,0.9980055300031673,"CAPITO, SHELLEY MOORE",3407646.65,4056630.05
WY,S6WY00217,S6WY00209,"BYRD, JAMES WILLARD MR.","HAGEMAN, HARRIET",9653.0,1555542.88,8319.97,1278925.42,1822.79,1159580.5,0.0,0.0,2026-03-31,2026-03-31,Republican,party,0.935,will-the-republicans-win-the-wyoming-senate-race-in-2026,S6WY00068,Democrat,party,0.065,will-the-democrats-win-the-wyoming-senate-race-in-2026,S4WY00188,0.8700000000000001,1565195.88,1287245.39,1161403.29,0.006167279203418297,0.9938327207965817,0.001569472047905082,0.9984305279520949,REP,0.9938327207965817,0.9984305279520949,"HAGEMAN, HARRIET",1545889.88,1157757.71
